,mu,eta,longitude,latitude,Building_Station_Cost,Building_Charger_Cost
0,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
1,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
2,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
3,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
4,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
5,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
6,1.0,5.0,-132.96852638382137,-83.40054057,5000.0,2500.0
7,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
8,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
9,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
