,v,s,beta,alpha,d
0,120,0,0.0,0.0,0.0
1,120,1,0.0,0.0,0.0
2,120,2,0.0,0.0,0.0
3,120,3,0.0,0.0,0.0
4,120,4,0.0,0.0,0.0
5,120,5,1.0,0.0,8.49505133992057
6,120,6,0.0,0.0,0.0
7,120,7,0.0,0.0,0.0
8,120,8,0.0,0.0,0.0
9,120,9,0.0,0.0,0.0
10,120,10,0.0,0.0,0.0
11,120,11,0.0,0.0,0.0
12,120,12,0.0,0.0,0.0
13,120,13,0.0,0.0,0.0
14,120,14,0.0,0.0,0.0
15,120,15,0.0,0.0,0.0
16,120,16,0.0,0.0,0.0
17,120,17,0.0,0.0,0.0
18,120,18,0.0,0.0,0.0
19,120,19,0.0,0.0,0.0
20,552,0,0.0,0.0,0.0
21,552,1,0.0,0.0,0.0
22,552,2,0.0,0.0,0.0
23,552,3,0.0,0.0,0.0
24,552,4,0.0,0.0,0.0
25,552,5,0.0,0.0,0.0
26,552,6,0.0,0.0,0.0
27,552,7,0.0,0.0,0.0
28,552,8,0.0,0.0,0.0
29,552,9,0.0,0.0,0.0
30,552,10,0.0,0.0,0.0
31,552,11,0.0,0.0,0.0
32,552,12,0.0,0.0,0.0
33,552,13,0.0,0.0,0.0
34,552,14,0.0,0.0,0.0
35,552,15,0.0,0.0,0.0
36,552,16,1.0,0.0,18.706965642472277
37,552,17,0.0,0.0,0.0
38,552,18,0.0,0.0,0.0
39,552,19,0.0,0.0,0.0
40,90,0,0.0,0.0,0.0
41,90,1,0.0,0.0,0.0
42,90,2,0.0,0.0,0.0
43,90,3,0.0,0.0,0.0
44,90,4,0.0,0.0,0.0
45,90,5,1.0,0.0,7.085207912728122
46,90,6,0.0,0.0,0.0
47,90,7,0.0,0.0,0.0
48,90,8,0.0,0.0,0.0
49,90,9,0.0,0.0,0.0
50,90,10,0.0,0.0,0.0
51,90,11,0.0,0.0,0.0
52,90,12,0.0,0.0,0.0
53,90,13,0.0,0.0,0.0
54,90,14,0.0,0.0,0.0
55,90,15,0.0,0.0,0.0
56,90,16,0.0,0.0,0.0
57,90,17,0.0,0.0,0.0
58,90,18,0.0,0.0,0.0
59,90,19,0.0,0.0,0.0
60,973,0,0.0,0.0,0.0
61,973,1,0.0,0.0,0.0
62,973,2,0.0,0.0,0.0
63,973,3,0.0,0.0,0.0
64,973,4,0.0,0.0,0.0
65,973,5,1.0,0.0,58.944855808863984
66,973,6,0.0,0.0,0.0
