,beta,alpha,d,v,s,k,range_scenario,A_v_k
0,0.0,0.0,0.0,0,0,s0,127.86827445244218,0
1,0.0,0.0,0.0,0,0,s1,99.6075181963836,0
2,1.0,0.0,3.080685590856205,0,0,s2,115.99147238937952,1
3,0.0,0.0,0.0,0,0,s3,98.86223464155088,0
4,1.0,0.0,3.080685590856205,0,0,s4,56.71784896948529,1
5,0.0,0.0,0.0,0,0,s5,93.65517235124308,0
6,1.0,0.0,3.080685590856205,0,0,s6,43.68291668248384,1
7,1.0,0.0,3.080685590856205,0,0,s7,39.44593887217334,1
8,0.0,0.0,0.0,0,0,s8,110.43150662672046,0
9,1.0,0.0,3.080685590856205,0,0,s9,49.76206761385893,1
10,1.0,0.0,3.080685590856205,0,0,s10,43.71596388649433,1
11,0.0,0.0,0.0,0,0,s11,103.3657195543187,0
12,1.0,0.0,3.080685590856205,0,0,s12,10.65349567872262,1
13,0.0,0.0,0.0,0,0,s13,96.81755375862052,0
14,1.0,0.0,3.080685590856205,0,0,s14,71.95887442553803,1
15,0.0,0.0,0.0,0,0,s15,97.6681089979,0
16,1.0,0.0,3.080685590856205,0,0,s16,54.60109158770531,1
17,0.0,0.0,0.0,0,0,s17,93.10474412299646,0
18,1.0,0.0,3.080685590856205,0,0,s18,59.76467385335484,1
19,0.0,0.0,0.0,0,0,s19,133.36805228998367,0
20,1.0,0.0,3.080685590856205,0,0,s20,23.829309709598164,1
21,1.0,0.0,3.080685590856205,0,0,s21,90.78359576025402,1
22,1.0,0.0,3.080685590856205,0,0,s22,76.1262926477773,1
23,0.0,0.0,0.0,0,0,s23,116.48324740524596,0
24,0.0,0.0,0.0,0,0,s24,52.89980317941006,0
25,0.0,0.0,0.0,0,0,s25,101.35002077580911,0
26,1.0,0.0,3.080685590856205,0,0,s26,66.2832523107652,1
27,1.0,0.0,3.080685590856205,0,0,s27,44.058170718245904,1
28,1.0,0.0,3.080685590856205,0,0,s28,49.67744878784012,1
29,0.0,0.0,0.0,0,0,s29,41.17264230728735,0
30,1.0,0.0,3.080685590856205,0,0,s30,33.9438854721859,1
31,1.0,0.0,3.080685590856205,0,0,s31,68.88354896218367,1
32,0.0,0.0,0.0,0,0,s32,105.36848253079394,0
33,0.0,0.0,0.0,0,0,s33,76.65989204224581,0
34,1.0,0.0,3.080685590856205,0,0,s34,36.59715414195487,1
35,0.0,0.0,0.0,0,0,s35,69.6652102982588,0
36,1.0,0.0,3.080685590856205,0,0,s36,87.5291238673226,1
37,0.0,0.0,0.0,0,0,s37,90.05972601056098,0
38,1.0,0.0,3.080685590856205,0,0,s38,60.67291281897072,1
39,1.0,0.0,3.080685590856205,0,0,s39,11.500347111865096,1
40,1.0,0.0,3.080685590856205,0,0,s40,23.68717615654046,1
41,0.0,0.0,0.0,0,0,s41,110.1298466894568,0
42,1.0,0.0,3.080685590856205,0,0,s42,11.616909030880052,1
43,1.0,0.0,3.080685590856205,0,0,s43,73.05379353806596,1
